Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Vion,6321-3,Mesh High Back Multi-Tilter ,GUS,998,GLS,1100,Task Seating,With Arms,,Mesh Back,High Back,Multi-Tilter,TRUE
Vion,6321-4,Mesh High Back Tilter,GUS,998,GLS,1063,Task Seating,With Arms,,Mesh Back,High Back,Tilter,TRUE
Vion,6321-6,Mesh High Back Task,GUS,893,GLS,937,Task Seating,With Arms,,Mesh Back,High Back,    ,TRUE
Vion,6321-8,Mesh High Back Weight Sensing Synchro-Tilter ,GUS,856,GLS,1100,Task Seating,With Arms,,Mesh Back,High Back,Synchro-Tilter,TRUE
Vion,6322-0,Mesh Medium Back Synchro-Tilter,GUS,998,GLS,1041,Task Seating,With Arms,,Mesh Back,Medium Back,Synchro-Tilter,TRUE
Vion,6322-3,Mesh Medium Back Multi-Tilter,GUS,945,GLS,1041,Task Seating,With Arms,,Mesh Back,Medium Back,Multi-Tilter,TRUE
Vion,6322-4,Mesh Medium Back Tilter ,GUS,945,GLS,1003,Task Seating,With Arms,,Mesh Back,Medium Back,Tilter,TRUE
Vion,6322-6,Mesh Medium Back Task,GUS,840,GLS,877,Task Seating,With Arms,,Mesh Back,Medium Back,    ,TRUE
Vion,6322-8,Mesh Medium Back Weight Sensing Synchro-Tilter,GUS,812,GLS,1041,Task Seating,With Arms,,Mesh Back,Medium Back,Synchro-Tilter,TRUE
Vion,6323-6,Armless Mesh Medium Back Task,GUS,945,GLS,705,Task Seating,Armless,,Mesh Back,Medium Back,    ,TRUE
Vion,6331-0,Upholstered High Back Synchro-Tilter,GUS,767,GLS,1100,Task Seating,With Arms,,Upholstered Back,High Back,Synchro-Tilter,TRUE
Vion,6331-3,Upholstered High Back Multi-Tilter ,GUS,1131,GLS,1100,Task Seating,With Arms,,Upholstered Back,High Back,Multi-Tilter,TRUE
Vion,6331-4,Upholstered High Back Tilter,GUS,1131,GLS,1063,Task Seating,With Arms,,Upholstered Back,High Back,Tilter,TRUE
Vion,6331-6,Upholstered High Back Task,GUS,1011,GLS,937,Task Seating,With Arms,,Upholstered Back,High Back,    ,TRUE
Vion,6331-8,Upholstered High Back Weight Sensing Synchro-Tilter,GUS,982,GLS,1100,Task Seating,With Arms,,Upholstered Back,High Back,Synchro-Tilter,TRUE
Vion,6332-0,Upholstered Medium Back Synchro-Tilter,GUS,1131,GLS,1041,Task Seating,With Arms,,Upholstered Back,Medium Back,Synchro-Tilter,TRUE
Vion,6332-3,Upholstered Medium Back Multi-Tilter ,GUS,1079,GLS,1041,Task Seating,With Arms,,Upholstered Back,Medium Back,Multi-Tilter,TRUE
Vion,6332-4,Upholstered Medium Back Tilter,GUS,1079,GLS,1003,Task Seating,With Arms,,Upholstered Back,Medium Back,Tilter,TRUE
Vion,6332-6,Upholstered Medium Back Task,GUS,966,GLS,877,Task Seating,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Vion,6332-8,Upholstered Medium Back Weight Sensing Synchro-Tilter,GUS,939,GLS,1041,Task Seating,With Arms,,Upholstered Back,Medium Back,Synchro-Tilter,TRUE
Vion,6333-6,Armless Upholstered Medium Back Task,GUS,1079,GLS,705,Task Seating,Armless,,Upholstered Back,Medium Back,    ,TRUE
Vion,GC6322-0,Mesh Medium Back Synchro-Tilter,GUS,893,GC1,1029,Task Seating,With Arms,,Mesh Back,Medium Back,Synchro-Tilter,TRUE
Vion,GC6322-4,Mesh Medium Back Tilter,GLC,1188,GC1,995,Task Seating,With Arms,,Mesh Back,Medium Back,Tilter,TRUE
Vion,GC6331-0,Upholstered High Back Synchro-Tilter ,GLC,1388,GC1,1083,Task Seating,With Arms,,Upholstered Back,High Back,Synchro-Tilter,TRUE
Vion,GC6331-4,Upholstered High Back Tilter,GLC,1213,GC1,1057,Task Seating,With Arms,,Upholstered Back,High Back,Tilter,TRUE
Vion,6324,Armless Mesh Low Back Side Chair,GUS,626,GLS,576,Side Chair,Armless,,Mesh Back,Low Back,    ,TRUE
Vion,6324C,"Armless Mesh Low Back Side Chair, Casters",GUS,626,GLS,672,Side Chair,Armless,,Mesh Back,Low Back,    ,TRUE
Vion,6325,Mesh Low Back Armchair,GUS,699,GLS,625,Side Chair,With Arms,,Mesh Back,Low Back,    ,TRUE
Vion,6325C,"Mesh Low Back Armchair, Casters",GUS,671,GLS,719,Side Chair,With Arms,,Mesh Back,Low Back,    ,TRUE
Vion,6334,Armless Upholstered Low Back Side Chair ,GUS,742,GLS,576,Side Chair,Armless,,Upholstered Back,Low Back,    ,TRUE
Vion,6334C,"Armless Upholstered Low Back Side Chair, Casters",GUS,685,GLS,672,Side Chair,Armless,,Upholstered Back,Low Back,    ,TRUE
Vion,6335,Upholstered Low Back Armchair,GUS,766,GLS,625,Side Chair,With Arms,,Upholstered Back,Low Back,    ,TRUE
Vion,6335C,"Upholstered Low Back Armchair, Casters",GUS,731,GLS,719,Side Chair,With Arms,,Upholstered Back,Low Back,    ,TRUE
Vion,6321-4PB,"Mesh High Back Tilter, Pedestal Base ",GUS,810,GLS,1291,Pedestal,With Arms,Pedestal Base,Mesh Back,High Back,Tilter,TRUE
Vion,6322-4PB,"Mesh Medium Back Tilter, Pedestal Base",GUS,1124,GLS,1230,Pedestal,With Arms,Pedestal Base,Mesh Back,Medium Back,Tilter,TRUE
Vion,6331-4PB,"Upholstered High Back Tilter, Pedestal Base",GUS,1072,GLS,1291,Pedestal,With Arms,Pedestal Base,Upholstered Back,High Back,Tilter,TRUE
Vion,6332-4PB,"Upholstered Medium Back Tilter, Pedestal Base",GUS,1242,GLS,1230,Pedestal,With Arms,Pedestal Base,Upholstered Back,Medium Back,Tilter,TRUE
Vion,6364-6PB,"Armless Mesh Low Back Task, Pedestal Base",GUS,1197,GLS,1031,Pedestal,Armless,Pedestal Base,Mesh Back,Low Back,    ,TRUE
Vion,6364-6LPB,"Armless Mesh Low Back Task with Left Tablet, Pedestal Base",GUS,1130,GLS,1307,Pedestal,Armless,Pedestal Base,Mesh Back,Low Back,    ,TRUE
Vion,6364-6RPB,"Armless Mesh Low Back Task with Right Tablet, Pedestal Base",GUS,1453,GLS,1307,Pedestal,Armless,Pedestal Base,Mesh Back,Low Back,    ,TRUE
Vion,6374-6PB,"Armless Upholstered Low Back Task, Pedestal Base",GUS,1453,GLS,1031,Pedestal,Armless,Pedestal Base,Upholstered Back,Low Back,    ,TRUE
Vion,6374-6LPB,"Armless Upholstered Low Back Task with Left Tablet, Pedestal Base",GUS,1130,GLS,1307,Pedestal,Armless,Pedestal Base,Upholstered Back,Low Back,    ,TRUE
Vion,6374-6RPB,"Armless Upholstered Low Back Task with Right Tablet, Pedestal Base",GUS,1453,GLS,1307,Pedestal,Armless,Pedestal Base,Upholstered Back,Low Back,    ,TRUE
Vion,S6328-6,Mesh Medium Back Heavy Duty Height Adjustable Stool,GUS,1453,GLS,1194,Task Seating,With Arms,,Mesh Back,Medium Back,    ,TRUE
Vion,S6338-6,Upholstered Medium Back Heavy Duty Height Adjustable Stool,GUS,999,GLS,1194,Task Seating,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Vion,TS6321-3,Mesh High Back Heavy Duty Multi-Tilter,GUS,1122,GLS,1340,Task Seating,With Arms,,Mesh Back,High Back,Multi-Tilter,TRUE
Vion,TS6322-3,Mesh Medium Back Heavy Duty Multi-Tilter,GUS,1293,GLS,1279,Task Seating,With Arms,,Mesh Back,Medium Back,Multi-Tilter,TRUE
Vion,TS6331-3,Upholstered High Back Heavy Duty Multi-Tilter,GUS,1242,GLS,1340,Task Seating,With Arms,,Upholstered Back,High Back,Multi-Tilter,TRUE
Vion,TS6332-3,Upholstered Medium Back Heavy Duty Multi-Tilter,GUS,1427,GLS,1279,Task Seating,With Arms,,Upholstered Back,Medium Back,Multi-Tilter,TRUE
Vion,6327-6,Armless Mesh Medium Back Height Adjustable Stool,GUS,1376,GLS,922,Stools,Armless,,Mesh Back,Medium Back,    ,TRUE
Vion,6328-6,Mesh Medium Back Height Adjustable Stool,GUS,856,GLS,1094,Stools,With Arms,,Mesh Back,Medium Back,    ,TRUE
Vion,6337-6,Armless Upholstered Medium Back Height Adjustable Stool,GUS,966,GLS,922,Stools,Armless,,Upholstered Back,Medium Back,    ,TRUE
Vion,6338-6,Upholstered Medium Back Height Adjustable Stool,GUS,966,GLS,1094,Stools,With Arms,,Upholstered Back,Medium Back,    ,TRUE
Vion,6350,Mesh Back Bar Height Stool,GUS,1085,GLS,825,Stools,With Arms,,Mesh Back,    ,    ,TRUE
Vion,6351,Armless Mesh Back Bar Height Stool,GUS,871,GLS,777,Stools,Armless,,Mesh Back,    ,    ,TRUE
Vion,6352,Mesh Back Counter Height Stool,GUS,829,GLS,825,Stools,With Arms,,Mesh Back,    ,    ,TRUE
Vion,6353,Armless Mesh Back Counter Height Stool,GUS,871,GLS,777,Stools,Armless,,Mesh Back,    ,    ,TRUE
Vion,6360,Upholstered Back Bar Height Stool,GUS,829,GLS,825,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Vion,6361,Armless Upholstered Back Bar Height Stool,GUS,949,GLS,777,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Vion,6362,Upholstered Back Counter Height Stool,GUS,907,GLS,825,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Vion,6363,Armless Upholstered Back Counter Height Stool,GUS,949,GLS,777,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Factor,5540,High Back,GUS,907,GLS,695,Task Seating,With Arms,,    ,High Back,    ,TRUE
Factor,5540NA,"High Back, Armless",GUS,715,GLS,632,Task Seating,Armless,,    ,High Back,    ,TRUE
Factor,5541,Medium Back,GUS,667,GLS,684,Task Seating,With Arms,,    ,Medium Back,    ,TRUE
Factor,5541NA,"Medium Back, Armless",GUS,674,GLS,620,Task Seating,Armless,,    ,Medium Back,    ,TRUE
Factor,5546,Medium Back Stool,GUS,626,GLS,872,Stools,With Arms,,    ,Medium Back,    ,TRUE
